Tiempo,VoltajeCH1,VoltajeCH2,ResolucionVCH1,ResolucionVCH2
-0.0005,-5.04,0.006,0.08,0.002
-0.0004996,-5.04,0.004,0.08,0.002
-0.0004992,-5.04,0.006,0.08,0.002
-0.0004988,-5.04,0.008,0.08,0.002
-0.0004984,-5.04,0.006,0.08,0.002
-0.000498,-5.04,0.004,0.08,0.002
-0.0004976000000000001,-5.04,0.006,0.08,0.002
-0.0004972,-5.04,0.002,0.08,0.002
-0.0004968,-5.04,0.006,0.08,0.002
-0.0004964,-4.96,0.004,0.08,0.002
-0.000496,-5.04,0.004,0.08,0.002
-0.0004956,-5.04,0.006,0.08,0.002
-0.0004952,-5.04,0.008,0.08,0.002
-0.0004948,-5.04,0.006,0.08,0.002
-0.0004944,-4.96,0.01,0.08,0.002
-0.000494,-5.04,0.006,0.08,0.002
-0.0004936,-5.04,0.01,0.08,0.002
-0.0004932000000000001,-5.04,0.006,0.08,0.002
-0.0004928,-5.04,0.008,0.08,0.002
-0.0004924,-5.04,0.008,0.08,0.002
-0.000492,-5.04,0.008,0.08,0.002
-0.0004916,-5.04,0.012,0.08,0.002
-0.0004912,-5.04,0.016,0.08,0.002
-0.0004908,-4.96,0.01,0.08,0.002
-0.0004904,-5.04,0.014,0.08,0.002
-0.00049,-5.04,0.012,0.08,0.002
-0.0004896,-5.04,0.014,0.08,0.002
-0.0004892,-5.04,0.014,0.08,0.002
-0.0004888000000000001,-5.04,0.012,0.08,0.002
-0.0004884,-5.04,0.012,0.08,0.002
-0.000488,-5.04,0.01,0.08,0.002
-0.00048760000000000003,-4.96,0.018000000000000002,0.08,0.002
-0.0004872,-5.04,0.018000000000000002,0.08,0.002
-0.0004868,-5.04,0.016,0.08,0.002
-0.0004864,-5.04,0.014,0.08,0.002
-0.000486,-4.96,0.018000000000000002,0.08,0.002
-0.0004856,-5.04,0.014,0.08,0.002
-0.00048520000000000003,-5.04,0.014,0.08,0.002
-0.0004848,-5.04,0.014,0.08,0.002
-0.0004844,-5.04,0.01,0.08,0.002
-0.000484,-5.04,0.006,0.08,0.002
-0.0004836,-5.04,0.01,0.08,0.002
-0.00048320000000000004,-5.04,0.012,0.08,0.002
-0.0004828,-4.96,0.008,0.08,0.002
-0.0004824,-5.04,0.012,0.08,0.002
-0.000482,-5.04,0.01,0.08,0.002
-0.0004816,-5.04,0.004,0.08,0.002
-0.0004812,-5.04,0.01,0.08,0.002
-0.00048080000000000003,-5.04,0.01,0.08,0.002
-0.0004804,-5.04,0.002,0.08,0.002
-0.00048,-5.04,0.006,0.08,0.002
-0.0004796,-5.04,0.008,0.08,0.002
-0.0004792,-5.04,0.006,0.08,0.002
