Tiempo,VoltajeCH1,VoltajeCH2,ResolucionVCH1,ResolucionVCH2
-0.000138,-0.96,0.0,0.04,8e-05
-0.0001379,-1.0,-8e-05,0.04,8e-05
-0.0001378,-1.0,-0.00016,0.04,8e-05
-0.00013769999999999999,-1.0,-8e-05,0.04,8e-05
-0.00013759999999999998,-0.96,0.00016,0.04,8e-05
-0.00013749999999999998,-1.0,-0.00016,0.04,8e-05
-0.0001374,-1.0,-0.00016,0.04,8e-05
-0.0001373,-0.96,0.00016,0.04,8e-05
-0.0001372,-0.96,-8e-05,0.04,8e-05
-0.0001371,-0.96,0.00016,0.04,8e-05
-0.000137,-1.0,-8e-05,0.04,8e-05
-0.0001369,-1.0,-0.00024000000000000003,0.04,8e-05
-0.0001368,-0.96,-0.00024000000000000003,0.04,8e-05
-0.0001367,-0.96,0.0,0.04,8e-05
-0.00013659999999999999,-1.0,-0.00024000000000000003,0.04,8e-05
-0.00013649999999999998,-0.96,-8e-05,0.04,8e-05
-0.00013639999999999998,-1.0,-0.00024000000000000003,0.04,8e-05
-0.0001363,-1.0,-0.00032,0.04,8e-05
-0.0001362,-1.0,-0.0004,0.04,8e-05
-0.0001361,-1.0,-0.00016,0.04,8e-05
-0.000136,-1.0,-0.00016,0.04,8e-05
-0.0001359,-1.0,-0.00032,0.04,8e-05
-0.0001358,-1.0,-0.00024000000000000003,0.04,8e-05
-0.0001357,-0.96,-0.0004,0.04,8e-05
-0.0001356,-1.0,8e-05,0.04,8e-05
-0.0001355,-0.96,-8e-05,0.04,8e-05
-0.00013539999999999998,-0.96,8e-05,0.04,8e-05
-0.00013529999999999998,-1.0,8e-05,0.04,8e-05
-0.0001352,-1.0,0.0,0.04,8e-05
-0.0001351,-0.96,8e-05,0.04,8e-05
-0.000135,-1.0,-0.00016,0.04,8e-05
-0.0001349,-1.0,-8e-05,0.04,8e-05
-0.0001348,-1.0,-0.00016,0.04,8e-05
-0.0001347,-1.0,-0.00016,0.04,8e-05
-0.0001346,-1.0,8e-05,0.04,8e-05
-0.0001345,-1.0,-8e-05,0.04,8e-05
-0.0001344,-1.0,-0.00032,0.04,8e-05
-0.00013429999999999998,-1.0,-0.00016,0.04,8e-05
-0.00013419999999999998,-1.0,-8e-05,0.04,8e-05
-0.0001341,-1.0,0.0,0.04,8e-05
-0.000134,-1.0,0.0,0.04,8e-05
-0.0001339,-1.0,-8e-05,0.04,8e-05
-0.0001338,-0.96,-0.00016,0.04,8e-05
-0.0001337,-1.0,-0.00016,0.04,8e-05
-0.0001336,-1.0,-0.0005600000000000001,0.04,8e-05
-0.0001335,-1.0,-0.00048000000000000007,0.04,8e-05
-0.0001334,-1.0,-0.00016,0.04,8e-05
-0.0001333,-1.0,-0.0005600000000000001,0.04,8e-05
-0.00013319999999999999,-0.96,-0.0005600000000000001,0.04,8e-05
-0.00013309999999999998,-1.0,-0.00024000000000000003,0.04,8e-05
-0.00013299999999999998,-0.96,-0.0004,0.04,8e-05
-0.0001329,-1.0,-0.0004,0.04,8e-05
-0.0001328,-0.96,-0.00048000000000000007,0.04,8e-05
-0.0001327,-0.96,-0.0004,0.04,8e-05
-0.0001326,-1.0,-0.00032,0.04,8e-05
-0.0001325,-1.0,-0.00016,0.04,8e-05
-0.0001324,-1.0,-0.0005600000000000001,0.04,8e-05
-0.0001323,-1.0,-0.0005600000000000001,0.04,8e-05
-0.0001322,-1.0,-0.00032,0.04,8e-05
-0.00013209999999999999,-1.0,-0.00064,0.04,8e-05
-0.00013199999999999998,-0.96,-0.00048000000000000007,0.04,8e-05
-0.00013189999999999998,-1.0,-0.00032,0.04,8e-05
-0.0001318,-0.96,-0.00032,0.04,8e-05
-0.0001317,-1.0,-0.0005600000000000001,0.04,8e-05
-0.0001316,-0.96,-0.0004,0.04,8e-05
-0.0001315,-1.0,-0.00032,0.04,8e-05
-0.0001314,-1.0,-0.00032,0.04,8e-05
-0.0001313,-0.96,-0.00024000000000000003,0.04,8e-05
-0.0001312,-1.0,-0.00048000000000000007,0.04,8e-05
-0.0001311,-0.96,-0.0004,0.04,8e-05
-0.00013099999999999999,-1.0,-0.0004,0.04,8e-05
-0.00013089999999999998,-1.0,-0.00016,0.04,8e-05
-0.00013079999999999998,-0.96,-0.0004,0.04,8e-05
-0.0001307,-1.0,-0.00024000000000000003,0.04,8e-05
-0.0001306,-1.0,-0.00024000000000000003,0.04,8e-05
-0.0001305,-1.0,-0.0005600000000000001,0.04,8e-05
-0.0001304,-1.0,-0.0005600000000000001,0.04,8e-05
-0.0001303,-0.96,-0.00048000000000000007,0.04,8e-05
-0.0001302,-0.96,-0.00072,0.04,8e-05
-0.0001301,-0.96,-0.00048000000000000007,0.04,8e-05
-0.00013,-0.96,-0.00024000000000000003,0.04,8e-05
-0.00012989999999999999,-1.0,-0.00048000000000000007,0.04,8e-05
-0.00012979999999999998,-1.0,-8e-05,0.04,8e-05
-0.00012969999999999998,-1.0,-0.0005600000000000001,0.04,8e-05
-0.0001296,-0.96,-0.00024000000000000003,0.04,8e-05
-0.0001295,-1.0,-0.00024000000000000003,0.04,8e-05
-0.0001294,-1.0,-0.00032,0.04,8e-05
-0.0001293,-1.0,-0.00048000000000000007,0.04,8e-05
-0.0001292,-1.0,-0.00032,0.04,8e-05
-0.0001291,-0.96,-0.00016,0.04,8e-05
-0.000129,-1.0,-0.0005600000000000001,0.04,8e-05
-0.0001289,-1.0,-0.00048000000000000007,0.04,8e-05
-0.0001288,-1.0,-0.00072,0.04,8e-05
-0.00012869999999999998,-0.96,-0.00048000000000000007,0.04,8e-05
-0.00012859999999999998,-1.0,-0.00032,0.04,8e-05
-0.0001285,-1.0,-0.00064,0.04,8e-05
-0.0001284,-1.0,-0.00064,0.04,8e-05
-0.0001283,-1.0,-0.00064,0.04,8e-05
-0.0001282,-0.96,-0.00024000000000000003,0.04,8e-05
-0.0001281,-1.0,-0.00072,0.04,8e-05
-0.000128,-1.0,-0.0004,0.04,8e-05
-0.0001279,-1.0,-0.00032,0.04,8e-05
-0.0001278,-1.0,-0.00048000000000000007,0.04,8e-05
-0.0001277,-1.0,-0.00032,0.04,8e-05
-0.00012759999999999998,-0.96,-0.0005600000000000001,0.04,8e-05
-0.00012749999999999998,-0.96,-0.00048000000000000007,0.04,8e-05
-0.0001274,-0.96,-8e-05,0.04,8e-05
-0.0001273,-0.96,-0.00016,0.04,8e-05
-0.0001272,-1.0,-0.0004,0.04,8e-05
-0.0001271,-0.96,0.0,0.04,8e-05
-0.000127,-0.96,-0.00016,0.04,8e-05
-0.0001269,-0.96,-0.00024000000000000003,0.04,8e-05
-0.0001268,-0.96,-0.00024000000000000003,0.04,8e-05
-0.0001267,-1.0,8e-05,0.04,8e-05
-0.0001266,-0.96,-8e-05,0.04,8e-05
-0.00012649999999999998,-0.96,-0.00016,0.04,8e-05
-0.00012639999999999998,-1.0,-0.00032,0.04,8e-05
-0.00012629999999999998,-1.0,-0.0004,0.04,8e-05
-0.0001262,-1.0,-0.00032,0.04,8e-05
-0.0001261,-1.0,-0.00024000000000000003,0.04,8e-05
-0.000126,-1.0,-0.0005600000000000001,0.04,8e-05
-0.0001259,-1.0,-0.0004,0.04,8e-05
-0.0001258,-1.0,-0.0004,0.04,8e-05
-0.0001257,-0.96,-0.00032,0.04,8e-05
-0.0001256,-0.96,-0.0004,0.04,8e-05
-0.0001255,-0.96,-0.00048000000000000007,0.04,8e-05
-0.00012539999999999999,-1.0,-0.0005600000000000001,0.04,8e-05
-0.00012529999999999998,-0.96,-0.00072,0.04,8e-05
-0.0001252,-1.0,-0.00032,0.04,8e-05
-0.0001251,-0.96,-0.0005600000000000001,0.04,8e-05
-0.000125,-1.0,-0.00072,0.04,8e-05
-0.0001249,-1.0,-0.00048000000000000007,0.04,8e-05
-0.0001248,-1.0,-0.00064,0.04,8e-05
-0.0001247,-1.0,-0.00064,0.04,8e-05
-0.0001246,-1.0,-0.0008,0.04,8e-05
-0.0001245,-1.0,-0.00064,0.04,8e-05
-0.0001244,-0.96,-0.0005600000000000001,0.04,8e-05
-0.00012429999999999999,-1.0,-0.00048000000000000007,0.04,8e-05
-0.00012419999999999998,-1.0,-0.00064,0.04,8e-05
-0.00012409999999999998,-0.96,-0.00064,0.04,8e-05
-0.000124,-1.0,-0.00032,0.04,8e-05
-0.0001239,-1.0,-0.00032,0.04,8e-05
-0.0001238,-0.96,-0.00016,0.04,8e-05
-0.0001237,-0.96,-8e-05,0.04,8e-05
-0.0001236,-1.0,0.0,0.04,8e-05
-0.0001235,-1.0,-8e-05,0.04,8e-05
